"","x"
"3_out_of_10",-2.00168145041722
"4_10",-1.97443032092515
"4_out_of_10",-1.79656249193703
"3_10",-1.61274038699372
"not_recommend",-1.48473344481437
"nothing_better_to",-1.40419351215216
"2_10",-1.39405074959782
"waste",-1.35365010809057
"very_disappointed",-1.27085453589123
"only_saving",-1.21772125968708
"really_disappointed",-1.19715211806705
"grade_d",-1.1708403781833
"mystery_science",-1.08848135442979
"worst",-1.08346644271753
"below_average",-1.08259633392315
"wanted_to_like",-1.06260577583975
"poorly",-0.998783215640895
"1_out",-0.992701109887451
"forgettable",-0.991052546660526
"year_olds",-0.969275327284844
"2_out_of_10",-0.963896339522093
"awful",-0.960396027139721
"just_isn't",-0.960179584917413
"on_plus_side",-0.95987509871701
"disappointment",-0.912294329843587
"wasting",-0.874571518898177
"laughable",-0.86533943122802
"not_worth",-0.864719258085141
"had_high",-0.854768681175472
"in_grave",-0.849363524916945
"unfunny",-0.833371458001424
"lousy",-0.822880042670823
"mst3k",-0.809166683077717
"not_very_good",-0.79950179758402
"bore",-0.789177673044186
"what_point_of",-0.788688095469331
"redeeming",-0.778689872784497
"yawn",-0.776329981332403
"not_recommended",-0.764669815543537
"just_not",-0.75711152994918
"no_sense",-0.748507215428776
"not_enough_to",-0.747029234316083
"dull",-0.746836423570729
"but_fails",-0.744862234321597
"dreck",-0.731463812628735
"give_3",-0.715495505221077
"not_funny",-0.713891063129438
"skip_this",-0.713010556186785
"save_money",-0.712266379557985
"what_thinking",-0.710461470718376
"doesn't_help",-0.705478512524566
"amateurish",-0.70310823397026
"pointless",-0.702270240513581
"unconvincing",-0.687512304665028
"dreadful",-0.687193878117606
"1_10",-0.685465017733245
"mediocre",-0.682741403996512
"stinker",-0.682622401976807
"fast_forward",-0.671136149615844
"been_much",-0.668746557271024
"not_good",-0.664521637651204
"terrible",-0.660410590460109
"avoid_this",-0.660220882696002
"mildly",-0.653221848883861
"disappointing",-0.64816804472153
"disjointed",-0.641606419736798
"way_too_long",-0.639806936307258
"fails",-0.636579890397082
"unwatchable",-0.626009429445656
"that's_about",-0.624882365852988
"avoid",-0.620816641821442
"even_that",-0.617932469855957
"wretched",-0.610798485745289
"lifeless",-0.60841478423826
"nothing_good",-0.603176448387544
"tedious",-0.601437519971015
"trite",-0.598346494160343
"something_better",-0.590317763654227
"this_dull",-0.587032224379653
"worse",-0.578413062132258
"stilted",-0.578115005928881
"stock_footage",-0.576181513835349
"i'm_afraid",-0.57396767409163
"boring",-0.566093191905584
"pretentious",-0.564602078414918
"lackluster",-0.564261270283153
"this_turkey",-0.558526090511877
"rip_off_of",-0.556551941870453
"uninteresting",-0.55597213858426
"wasted",-0.552016440021354
"poor",-0.54324571548778
"wooden",-0.541204368419476
"of_worst",-0.539688776848827
"this_thing",-0.536105407764421
"lacks",-0.532042392710626
"embarrassing",-0.529597099687049
"tripe",-0.521625907007327
"cheap",-0.516076199358289
"insipid",-0.510169665539917
"movie_could_been",-0.508041769040084
"pathetic",-0.501195262895376
"insult_to",-0.491112542270291
"run_around",-0.487826406160788
"this_mess",-0.487059849164194
"ridiculous",-0.482159996471823
"hoping",-0.48050533127826
"money_to_see",-0.47752062574859
"weak",-0.476932751259549
"read_book",-0.474450702368312
"ashamed",-0.470376926594778
"worthless",-0.470072807657431
"to_sit_through",-0.468890376013375
"horrible",-0.468782368392772
"miscast",-0.461386515071014
"downhill",-0.460405213591697
"supposedly",-0.449278860602091
"seconds",-0.444631141634441
"annoying",-0.442999344797323
"rubbish",-0.440353481542969
"tries_to_be",-0.42462340224177
"writers",-0.423013573578251
"revolting",-0.422141173982438
"painful",-0.420970399653937
"stunk",-0.418197862354983
"money_back",-0.413832790494974
"shallow",-0.411376327063362
"isn't_even",-0.410512453092123
"sorry",-0.408528107110631
"incoherent",-0.403930311220107
"not_very",-0.401777994580176
"even_close",-0.399860355805381
"unfortunately",-0.39259904441288
"not_even",-0.391594350407707
"embarrassed",-0.38890165542668
"most_boring",-0.38871003566433
"interesting_but",-0.388540099861314
"any_of_characters",-0.386593653008729
"supposed",-0.384379524800942
"turd",-0.383520232204395
"muddled",-0.382913569706564
"no_story",-0.378518869046164
"badly",-0.376539859457749
"irritating",-0.373791906681467
"mess",-0.372130074593467
"main_problem",-0.371419050523625
"just_didn't",-0.36980744440547
"lame",-0.369555165953736
"minutes_into",-0.360409392357023
"bin",-0.358410361963391
"obnoxious",-0.355898527481318
"save",-0.355834632057223
"dud",-0.354684045297859
"call_that",-0.354036763222937
"remotely",-0.353950171152064
"barely",-0.350387385645855
"nonsense",-0.350362983096618
"be_comedy",-0.349225824803937
"existent",-0.348619899301547
"endless",-0.347865849015985
"this_movie_so_bad",-0.345866934796964
"nothing",-0.342478403733782
"this_crap",-0.337008296213323
"be_worth",-0.336962904748526
"fell_asleep",-0.334742776479783
"asleep",-0.332629572960856
"bland",-0.331478736911529
"bad",-0.330413957514393
"unless",-0.326156844338959
"only_good_thing",-0.325118762704954
"trying_to_be",-0.320868369717803
"failed",-0.317993795235267
"if_this",-0.317660106967622
"stick_to",-0.317437014867069
"better_off",-0.310297409721992
"excuse",-0.308749729214429
"way_too",-0.308120803373873
"does_not_work",-0.305498870186815
"bad_writing",-0.305071919412678
"predictable",-0.30306288286824
"forwarding",-0.302966748874095
"promising",-0.302878596677675
"at_all",-0.302006453464091
"could_been_good",-0.298877916353607
"sadly",-0.298645662438117
"crap",-0.298612596079036
"bottom_of",-0.296776180940852
"badly_acted",-0.296264022230555
"doing_in_this",-0.29582397633685
"insulting",-0.295306937994336
"instead",-0.294592574973067
"sucks",-0.293741340151581
"doesn't_make",-0.290960199162113
"ludicrous",-0.28962065872306
"bad_this",-0.289090844306036
"to_believe_that",-0.284191006504012
"attempt",-0.283904679038621
"oh",-0.283459577800736
"or_something",-0.283438375760452
"turkey",-0.276719233026714
"no_wonder",-0.272748827298023
"stupid",-0.27226352739468
"garbage",-0.270070462414901
"lacking",-0.269845728997263
"so_bad",-0.26448711148162
"this_piece_of",-0.26389791071493
"4",-0.263709197448478
"drivel",-0.262344434790226
"insult",-0.260812589526371
"but_no",-0.257373706484911
"just_plain",-0.256882758421514
"okay",-0.255874155643515
"minutes_of_life",-0.254634849640455
"cardboard",-0.253097708425246
"crappy",-0.251396463855576
"rented_this",-0.249245223905798
"lacked",-0.248869669141364
"paid",-0.24680512850467
"uninspired",-0.246801469896437
"idiotic",-0.244460553330328
"bother",-0.243723710574626
"incomprehensible",-0.242833224184579
"inappropriate",-0.242419297479967
"little_to",-0.240642231204692
"of_life_back",-0.24063776762194
"embarrassment",-0.24042908642003
"did_this",-0.239298069395055
"doesn't_work",-0.237172307451471
"but_why",-0.237050041197193
"no_chemistry",-0.234655539834375
"could_been",-0.232251375939291
"save_this",-0.231210103680951
"only_positive",-0.230140461029169
"how_bad",-0.223147259893856
"downhill_from",-0.222745512436862
"far_too",-0.221707486060021
"potential",-0.221138950709938
"ruined",-0.220874930518295
"two_hours",-0.220547407371137
"if_want_to",-0.22023323940642
"looked",-0.218159003945182
"any_sense",-0.216738716114818
"minutes",-0.216536119474686
